EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID_x,DEPARTMENT_ID,DEPARTMENT_NAME,MANAGER_ID_y
100,Steven,King,SKING,5.151.234.567,23/02/2021,AD_PRES,24000,,,90.0,Executive,100.0
101,Neena,Kochhar,NKOCHHAR,5.151.234.568,16/07/2018,AD_VP,17000,,100.0,90.0,Executive,100.0
102,Lex,De Haan,LDEHAAN,5.151.234.569,21/08/2012,AD_VP,17000,,100.0,90.0,Executive,100.0
103,Alexander,Hunold,AHUNOLD,5.904.234.567,19/05/2015,IT_PROG,9000,,102.0,60.0,IT,103.0
104,Bruce,Ernst,BERNST,5.904.234.568,1/07/2017,IT_PROG,6000,,103.0,60.0,IT,103.0
105,David,Austin,DAUSTIN,5.904.234.569,13/12/2016,IT_PROG,4800,,103.0,60.0,IT,103.0
106,Valli,Pataballa,VPATABAL,5.904.234.560,25/05/2016,IT_PROG,4800,,103.0,60.0,IT,103.0
107,Diana,Lorentz,DLORENTZ,5.904.235.567,1/12/2019,IT_PROG,4200,,103.0,60.0,IT,103.0
108,Nancy,Greenberg,NGREENBE,5.151.244.569,20/10/2020,FI_MGR,12000,,101.0,100.0,Finance,108.0
109,Daniel,Faviet,DFAVIET,5.151.244.169,14/04/2016,FI_ACCOUNT,9000,,108.0,100.0,Finance,108.0
110,John,Chen,JCHEN,5.151.244.269,25/10/2014,FI_ACCOUNT,8200,,108.0,100.0,Finance,108.0
111,Ismael,Sciarra,ISCIARRA,5.151.244.369,7/04/2012,FI_ACCOUNT,7700,,108.0,100.0,Finance,108.0
112,Jose Manuel,Urman,JMURMAN,5.151.244.469,27/04/2019,FI_ACCOUNT,7800,,108.0,100.0,Finance,108.0
113,Luis,Popp,LPOPP,5.151.244.567,20/01/2021,FI_ACCOUNT,6900,,108.0,100.0,Finance,108.0
114,Den,Raphaely,DRAPHEAL,5.151.274.561,27/12/2020,PU_MAN,11000,,100.0,30.0,Purchasing,114.0
115,Alexander,Khoo,AKHOO,5.151.274.562,5/12/2021,PU_CLERK,3100,,114.0,30.0,Purchasing,114.0
116,Shelli,Baida,SBAIDA,5.151.274.563,12/01/2017,PU_CLERK,2900,,114.0,30.0,Purchasing,114.0
117,Sigal,Tobias,STOBIAS,5.151.274.564,14/11/2015,PU_CLERK,2800,,114.0,30.0,Purchasing,114.0
118,Guy,Himuro,GHIMURO,5.151.274.565,10/02/2020,PU_CLERK,2600,,114.0,30.0,Purchasing,114.0
119,Karen,Colmenares,KCOLMENA,5.151.274.566,6/06/2014,PU_CLERK,2500,,114.0,30.0,Purchasing,114.0
120,Matthew,Weiss,MWEISS,6.501.231.234,10/01/2017,ST_MAN,8000,,100.0,50.0,Shipping,121.0
121,Adam,Fripp,AFRIPP,6.501.232.234,21/09/2015,ST_MAN,8200,,100.0,50.0,Shipping,121.0
122,Payam,Kaufling,PKAUFLIN,6.501.233.234,1/04/2015,ST_MAN,7900,,100.0,50.0,Shipping,121.0
123,Shanta,Vollman,SVOLLMAN,6.501.234.234,19/03/2021,ST_MAN,6500,,100.0,50.0,Shipping,121.0
124,Kevin,Mourgos,KMOURGOS,6.501.235.234,14/11/2018,ST_MAN,5800,,100.0,50.0,Shipping,121.0
125,Julia,Nayer,JNAYER,6.501.241.214,27/03/2017,ST_CLERK,3200,,120.0,50.0,Shipping,121.0
126,Irene,Mikkilineni,IMIKKILI,6.501.241.224,1/01/2019,ST_CLERK,2700,,120.0,50.0,Shipping,121.0
127,James,Landry,JLANDRY,6.501.241.334,9/01/2018,ST_CLERK,2400,,120.0,50.0,Shipping,121.0
128,Steven,Markle,SMARKLE,6.501.241.434,2/05/2013,ST_CLERK,2200,,120.0,50.0,Shipping,121.0
129,Laura,Bissot,LBISSOT,6.501.245.234,10/04/2021,ST_CLERK,3300,,121.0,50.0,Shipping,121.0
130,Mozhe,Atkinson,MATKINSO,6.501.246.234,29/10/2015,ST_CLERK,2800,,121.0,50.0,Shipping,121.0
131,James,Marlow,JAMRLOW,6.501.247.234,6/09/2018,ST_CLERK,2500,,121.0,50.0,Shipping,121.0
132,TJ,Olson,TJOLSON,6.501.248.234,31/10/2019,ST_CLERK,2100,,121.0,50.0,Shipping,121.0
133,Jason,Mallin,JMALLIN,6.501.271.934,27/04/2019,ST_CLERK,3300,,122.0,50.0,Shipping,121.0
134,Michael,Rogers,MROGERS,6.501.271.834,5/08/2015,ST_CLERK,2900,,122.0,50.0,Shipping,121.0
135,Ki,Gee,KGEE,6.501.271.734,15/10/2017,ST_CLERK,2400,,122.0,50.0,Shipping,121.0
136,Hazel,Philtanker,HPHILTAN,6.501.271.634,23/04/2019,ST_CLERK,2200,,122.0,50.0,Shipping,121.0
137,Renske,Ladwig,RLADWIG,6.501.211.234,28/02/2012,ST_CLERK,3600,,123.0,50.0,Shipping,121.0
138,Stephen,Stiles,SSTILES,6.501.212.034,18/02/2019,ST_CLERK,3200,,123.0,50.0,Shipping,121.0
139,John,Seo,JSEO,6.501.212.019,11/02/2017,ST_CLERK,2700,,123.0,50.0,Shipping,121.0
140,Joshua,Patel,JPATEL,6.501.211.834,31/03/2015,ST_CLERK,2500,,123.0,50.0,Shipping,121.0
141,Trenna,Rajs,TRAJS,6.501.218.009,8/02/2018,ST_CLERK,3500,,124.0,50.0,Shipping,121.0
142,Curtis,Davies,CDAVIES,6.501.212.994,20/12/2015,ST_CLERK,3100,,124.0,50.0,Shipping,121.0
143,Randall,Matos,RMATOS,6.501.212.874,4/02/2013,ST_CLERK,2600,,124.0,50.0,Shipping,121.0
144,Peter,Vargas,PVARGAS,6.501.212.004,14/05/2015,ST_CLERK,2500,,124.0,50.0,Shipping,121.0
180,Winston,Taylor,WTAYLOR,6.505.079.876,11/01/2021,SH_CLERK,3200,,120.0,50.0,Shipping,121.0
181,Jean,Fleaur,JFLEAUR,6.505.079.877,1/08/2016,SH_CLERK,3100,,120.0,50.0,Shipping,121.0
182,Martha,Sullivan,MSULLIVA,6.505.079.878,21/06/2015,SH_CLERK,2500,,120.0,50.0,Shipping,121.0
183,Girard,Geoni,GGEONI,6.505.079.879,19/09/2019,SH_CLERK,2800,,120.0,50.0,Shipping,121.0
184,Nandita,Sarchand,NSARCHAN,6.505.091.876,13/02/2015,SH_CLERK,4200,,121.0,50.0,Shipping,121.0
185,Alexis,Bull,ABULL,6.505.092.876,8/09/2016,SH_CLERK,4100,,121.0,50.0,Shipping,121.0
186,Julia,Dellinger,JDELLING,6.505.093.876,6/01/2014,SH_CLERK,3400,,121.0,50.0,Shipping,121.0
187,Anthony,Cabrio,ACABRIO,6.505.094.876,4/02/2014,SH_CLERK,3000,,121.0,50.0,Shipping,121.0
188,Kelly,Chung,KCHUNG,6.505.051.876,23/12/2015,SH_CLERK,3800,,122.0,50.0,Shipping,121.0
189,Jennifer,Dilly,JDILLY,6.505.052.876,15/06/2013,SH_CLERK,3600,,122.0,50.0,Shipping,121.0
190,Timothy,Gates,TGATES,6.505.053.876,16/07/2021,SH_CLERK,2900,,122.0,50.0,Shipping,121.0
191,Randall,Perkins,RPERKINS,6.505.054.876,26/04/2017,SH_CLERK,2500,,122.0,50.0,Shipping,121.0
192,Sarah,Bell,SBELL,6.505.011.876,21/01/2015,SH_CLERK,4000,,123.0,50.0,Shipping,121.0
193,Britney,Everett,BEVERETT,6.505.012.876,12/06/2013,SH_CLERK,3900,,123.0,50.0,Shipping,121.0
194,Samuel,McCain,SMCCAIN,6.505.013.876,26/03/2013,SH_CLERK,3200,,123.0,50.0,Shipping,121.0
195,Vance,Jones,VJONES,6.505.014.876,16/02/2016,SH_CLERK,2800,,123.0,50.0,Shipping,121.0
196,Alana,Walsh,AWALSH,6.505.079.811,18/09/2017,SH_CLERK,3100,,124.0,50.0,Shipping,121.0
197,Kevin,Feeney,KFEENEY,6.505.079.822,24/12/2020,SH_CLERK,3000,,124.0,50.0,Shipping,121.0
198,Donald,OConnell,DOCONNEL,6.505.079.833,13/12/2016,SH_CLERK,2600,,124.0,50.0,Shipping,121.0
199,Douglas,Grant,DGRANT,6.505.079.844,27/03/2015,SH_CLERK,2600,,124.0,50.0,Shipping,121.0
145,John,Russell,JRUSSEL,011.44.1344.429268,24/05/2021,SA_MAN,14000,0.4,100.0,80.0,Sales,145.0
146,Karen,Partners,KPARTNER,011.44.1344.467268,25/05/2012,SA_MAN,13500,0.3,100.0,80.0,Sales,145.0
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,31/05/2015,SA_MAN,12000,0.3,100.0,80.0,Sales,145.0
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,16/04/2014,SA_MAN,11000,0.3,100.0,80.0,Sales,145.0
